,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
PSME1,PSME1,0.399449722593442,7.19171466635233,6.50405552224852,1.04848969676607e-06,0.000167280706176266,non
SNAP25,SNAP25,0.582526040648774,4.3556528185842,6.39777585490845,1.35242327966809e-06,0.000212695439585892,non
SERPINA3,SERPINA3,0.645607915057256,3.83940877503061,6.38630403562404,1.39020611092499e-06,0.000212695439585892,up
CP,CP,0.572250955353174,4.97189162691374,6.38587526298742,1.39163897818703e-06,0.000212695439585892,non
CMPK2,CMPK2,1.92724044158921,0.148032835266286,6.38564980464275,1.39239301630154e-06,0.000212695439585892,up
TRIM21,TRIM21,0.548809741973005,5.15964861825725,6.37042065280049,1.44430322069673e-06,0.000218302631010362,non
LOC100289137,LOC100289137,-0.857933598574038,3.04866506622843,-6.29661868066204,1.72526888453583e-06,0.000257441292842279,down
B2M,B2M,0.386745146546455,8.28376858432563,6.29330832277543,1.73910477092423e-06,0.000257441292842279,non
NT5DC2,NT5DC2,-0.419578458017857,6.38366048500036,-6.25605439177662,1.90283512899285e-06,0.000278804179767432,non
HLA-F,HLA-F,0.849879605533519,2.58964867036119,6.22035302904401,2.07448755584425e-06,0.00030088451327644,up
SQSTM1,SQSTM1,-0.319905369227758,10.7369590872067,-6.15151549665862,2.45135434765009e-06,0.000351989970779077,non
LCN2,LCN2,0.601052222668394,4.27569767982759,6.10983144126958,2.71276997964496e-06,0.000385669941957643,up
HLA-C,HLA-C,0.364173981017984,6.78075262234818,6.08374580678835,2.89063350009148e-06,0.000406927513998173,non
NUPR1,NUPR1,-0.817712132096867,2.7647566128586,-6.04796882987606,3.15406156570259e-06,0.0004397006798245,down
TNS4,TNS4,0.345617757695449,7.59846802834492,6.04292320235438,3.19313033111885e-06,0.000440866907928227,non
IL3RA,IL3RA,-0.882311505154592,2.34860125304187,-6.02142533854328,3.36518679443473e-06,0.000460197306488459,down
GGT8P,GGT8P,-0.718892922195781,3.18223751039144,-5.99748848370319,3.56789356898949e-06,0.000483314941104907,down
LOC284454,LOC284454,-0.638236379203847,4.06078226581295,-5.97970914268857,3.72646000263097e-06,0.000500077001661477,down
SNORD26,SNORD26,2.03430866394612,-0.321951030902737,5.95600757990894,3.94905365109858e-06,0.00052504130903819,up
HSP90B1,HSP90B1,0.323954970398117,9.84207910779064,5.91926372741451,4.32118553778093e-06,0.000569246817770609,non
HLA-B,HLA-B,0.629162905913142,4.15268514182981,5.89377619076489,4.60008436380759e-06,0.000600478285271939,up
MAP3K14,MAP3K14,-0.399584550754899,6.56929896359845,-5.86437794084524,4.94459518829689e-06,0.000639634615394189,non
NAV2,NAV2,-0.429240945894448,5.22433337922669,-5.84918410593685,5.13281101035215e-06,0.00065728238346022,non
NFKBIA,NFKBIA,0.378643183205289,6.94686916579741,5.84537806374882,5.18108855535188e-06,0.00065728238346022,non
CDCP1,CDCP1,0.409635432449336,5.58349743695291,5.84246556777321,5.21834331878717e-06,0.00065728238346022,non
PML,PML,0.509307842150981,4.61672076945635,5.80109539794665,5.77789037347328e-06,0.000721432416284373,non
BST2,BST2,2.9481606393742,-1.33675806351484,5.76502633245015,6.31530813610337e-06,0.000781737151088864,up
TNFAIP3,TNFAIP3,0.422005261226293,5.40889894618277,5.72146076647941,7.03261739334753e-06,0.000863088488470746,non
PRAME,PRAME,0.335228678076964,7.48546538666887,5.71627735545689,7.12329597350169e-06,0.000866808532911108,non
PHF11,PHF11,0.729607611171666,3.13361763714895,5.70210549659031,7.37732231518192e-06,0.000884962340173637,up
EHF,EHF,0.610197285682072,3.89502813045372,5.69879764113465,7.43792616642038e-06,0.000884962340173637,up
TNFRSF10D,TNFRSF10D,-0.403380829656859,5.65003382173954,-5.69774190292355,7.45737468911554e-06,0.000884962340173637,non
KYNU,KYNU,0.364638057293395,8.65519545622718,5.66879868563028,8.01113833885218e-06,0.000942884716455561,non
AMDHD2,AMDHD2,-0.521724070988789,4.26316403647432,-5.65626063451293,8.26380578107896e-06,0.000956194163318167,non
TESC,TESC,0.353750196414959,6.52034583242318,5.65482996594091,8.2931458014352e-06,0.000956194163318167,non
SLC36A1,SLC36A1,-0.49180980967032,4.42566096753057,-5.64767562824878,8.44145918610955e-06,0.000956194163318167,non
EDN1,EDN1,0.35569141683807,7.1818018375283,5.64682711281255,8.45922690003813e-06,0.000956194163318167,non
KTN1,KTN1,0.362933140903398,8.58915883028011,5.64324807227634,8.53458950270663e-06,0.000956194163318167,non
RNF31,RNF31,0.407366925367801,5.48015181652112,5.64281041873277,8.54385161943101e-06,0.000956194163318167,non
PDIA3,PDIA3,0.316046442704065,8.46771415215981,5.64061983100482,8.59036472373031e-06,0.000956194163318167,non
ODF3B,ODF3B,0.674005683792861,3.08777182061288,5.63280110425776,8.75848502760629e-06,0.00096740835777999,up
MZT2B,MZT2B,-0.430688630851275,5.0190888842161,-5.61787362309015,9.08878346467313e-06,0.000996227799765202,non
IFT81,IFT81,0.402183189191884,5.8215845327653,5.60075841158739,9.48306691691338e-06,0.00103157089287848,non
PTPN12,PTPN12,0.405502561796438,6.42898590118411,5.59407358061386,9.6417349639046e-06,0.00104094490486245,non
THEMIS2,THEMIS2,1.69701691763266,0.0867110463253531,5.54880075850778,1.07895323569252e-05,0.0011561708590529,up
SYNE2,SYNE2,-0.572186533442805,6.0537630091291,-5.54281869787975,1.09512193062298e-05,0.00116480413346781,non
CACNA1G,CACNA1G,0.421544477286303,5.13769025469553,5.50241386536803,1.21095284258767e-05,0.00127853469608209,non
HIF1A,HIF1A,0.343898042154476,8.22095909123361,5.47928673607571,1.28276041506349e-05,0.00133385031387489,non
DUSP16,DUSP16,0.361840658806545,6.04654432667493,5.47782343317997,1.28744629262296e-05,0.00133385031387489,non
NECAB2,NECAB2,-0.840690853601157,2.18488597981383,-5.47665124773801,1.29121243560561e-05,0.00133385031387489,down
DGCR9,DGCR9,-1.23986127447035,1.18198445010893,-5.46497729712933,1.3293341480001e-05,0.00136342207365239,down
GBP1,GBP1,1.00636723990462,1.83434032302409,5.46060338416097,1.34390902939477e-05,0.0013685950179489,up
IFIT2,IFIT2,1.03543677641051,1.77283525682714,5.44514734788985,1.39672035341375e-05,0.00141235968694845,up
FILIP1,FILIP1,0.530974512838921,4.21170603932277,5.44214541936581,1.40721870379481e-05,0.00141302471103425,non
CFH,CFH,0.581833745633126,4.92181981408315,5.42150590907562,1.48159446074183e-05,0.00147737603206889,non
BCL2A1,BCL2A1,0.790114357405169,3.1231974260671,5.4120614220502,1.51694295424798e-05,0.00150219199172737,up
