,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
IRF2BPL,IRF2BPL,-0.751032181835194,3.59239045042537,-5.79984584669814,2.3008697488739e-05,0.00178479966987376,down
ANXA3,ANXA3,0.503250880887427,8.41914640483829,5.72126156349849,2.68747630865906e-05,0.00207342428937788,non
CXCL16,CXCL16,0.48528241808143,6.17415391827861,5.69549736244922,2.82836229521124e-05,0.00217038790535215,non
DEK,DEK,-0.429924917351242,6.45123498023877,-5.68038092339407,2.9145530540993e-05,0.00222456768669301,non
EFCAB7,EFCAB7,-0.783665673407264,3.50740065355792,-5.67722458608264,2.93288956230097e-05,0.00222665599588945,down
FAT2,FAT2,-0.406199983882714,8.87805235902932,-5.66830897002638,2.98533037798654e-05,0.00225447727433872,non
ANGPTL4,ANGPTL4,0.494813299783645,8.27709128176972,5.66359966072259,3.01341990474045e-05,0.00225571773240672,non
CDH10,CDH10,-1.13200982985811,1.97421769499267,-5.6627392910102,3.01858114544723e-05,0.00225571773240672,down
RND1,RND1,1.43778404098423,1.82067421891879,5.6237029147288,3.26262001364077e-05,0.00242538413826535,up
FAM83A,FAM83A,0.389762785402316,9.07563192941747,5.61924323040616,3.29176774360027e-05,0.00243437310903662,non
KRT24,KRT24,1.95015302052537,1.03888601137144,5.61451610851618,3.32295694401094e-05,0.00244434271979943,up
TUBA4A,TUBA4A,0.456578363593125,9.09179635658985,5.61202735208092,3.3394999674973e-05,0.00244434271979943,non
NANOS1,NANOS1,-1.46084105975165,1.10212271539112,-5.58561823639284,3.52037054355404e-05,0.00256358412082382,down
BLNK,BLNK,-0.666366381550393,3.6932948055098,-5.58015843257862,3.55900780616263e-05,0.00257856438666798,down
FLNB,FLNB,0.389663174704935,10.5122790883516,5.54676692969448,3.80502295118175e-05,0.00274288346374834,non
TRIML2,TRIML2,1.53412242351113,1.61712828788926,5.53433709134064,3.9010233309034e-05,0.00279795507547659,up
NCCRP1,NCCRP1,0.563643748984302,5.40021173878648,5.50764174114865,4.11573754754481e-05,0.00293719610080535,non
TCF4,TCF4,-0.562814372014989,4.74493295010172,-5.4803391449886,4.34796594338913e-05,0.00308748845323349,non
TUBA1B,TUBA1B,0.478795726063233,8.87170159017452,5.47453235802161,4.39907492627894e-05,0.00310831665459303,non
LDLR,LDLR,0.398174316706148,8.90930069105969,5.45899677200397,4.53887946624055e-05,0.00319130180402223,non
FYB,FYB,-0.452567659087724,7.38748213124052,-5.45215125361525,4.60192783528385e-05,0.00321144450748345,non
SAMD4A,SAMD4A,0.476596249803017,5.69145911527098,5.45100982815818,4.61252801817493e-05,0.00321144450748345,non
KIAA0247,KIAA0247,0.438976220575522,6.25276011758797,5.44373126045399,4.68071695155788e-05,0.00324310063347503,non
SPARC,SPARC,-0.44651249354303,6.28415743832391,-5.43034942156454,4.80880738918041e-05,0.00331473714909209,non
BST2,BST2,1.37573687820374,1.86033492332673,5.42811377221582,4.83055648434915e-05,0.00331473714909209,up
DTX3L,DTX3L,0.442356777478581,5.90818519171907,5.42554277058412,4.85569331527734e-05,0.00331604357363414,non
IKBKE,IKBKE,0.609642874360277,4.58991011800632,5.39293288087976,5.18647166362266e-05,0.00352507190737553,up
BCL3,BCL3,0.67020222250973,4.66749789144883,5.38444646567671,5.2763008827444e-05,0.00356912997627539,up
POU2F2,POU2F2,0.755915973096862,3.51944076544633,5.36666742505323,5.46972452787663e-05,0.00368188859348134,up
RFTN1,RFTN1,0.525475478908171,5.05259413722691,5.36442928847023,5.49458607448697e-05,0.00368188859348134,non
TUBB4B,TUBB4B,0.413971042056385,8.67123882178974,5.34531536410474,5.71170384895594e-05,0.0038094929456144,non
S100A7,S100A7,3.92097160375238,-1.40845283534944,5.33581568536747,5.82287840840487e-05,0.00386557876851919,up
PTGS2,PTGS2,0.584547904818301,4.83656794337444,5.33197812393768,5.86841870453678e-05,0.00387768975436105,non
CDCP1,CDCP1,0.372893001802529,8.23132762655215,5.32971409366018,5.89545769422229e-05,0.00387768975436105,non
NAMPT,NAMPT,0.459154495035572,7.75784583430505,5.31826834389874,6.03412840791378e-05,0.00395069333789695,non
SPRR1A,SPRR1A,0.809523732237385,3.9835123927993,5.31519557823743,6.07192490055861e-05,0.00395728694546452,up
SLC11A2,SLC11A2,0.488085465796553,5.63324956735189,5.31090705391953,6.1250835046248e-05,0.00397378713006863,non
TNFSF14,TNFSF14,1.84562116255824,0.95272035575188,5.29878340402747,6.27796845346272e-05,0.00405454496544224,up
PDCD4,PDCD4,-0.404134636263917,8.35173802054201,-5.29507455292452,6.32551890659012e-05,0.00406685276368292,non
MN1,MN1,-0.571765545973714,4.28722822828363,-5.28198420709329,6.4963300376837e-05,0.00415794253936589,non
TYMP,TYMP,0.829861816307512,4.64884885140631,5.26887482163341,6.67214833958875e-05,0.00425140952013171,up
ERRFI1,ERRFI1,0.427431869032004,7.38717877659003,5.26481932988838,6.72752463702474e-05,0.00426764262863351,non
MAP3K8,MAP3K8,1.02006567331201,2.2681391990762,5.25454867031481,6.86989114817641e-05,0.00433867063530628,up
