,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
TREX1,TREX1,1.86939351130529,5.37611124569032,8.98116650291901,2.83165277528896e-19,4.4309466656657e-17,up
TMEM140,TMEM140,1.96268070327845,4.89621618212438,8.94525285450821,3.91887918609668e-19,6.06901063232416e-17,up
DDX60,DDX60,2.36375818861006,3.63483644652797,8.87209382069805,7.56728231972154e-19,1.15995627558017e-16,up
LAMP3,LAMP3,3.30132383625247,2.15301120221171,8.73791676900475,2.49544587505623e-18,3.78652403384794e-16,up
LAMC2,LAMC2,1.90537376995017,4.91631173936856,8.7093986981555,3.2084911198934e-18,4.81979536030387e-16,up
GLIPR1,GLIPR1,2.05999035879931,4.33618758151224,8.69527490483573,3.63271525798313e-18,5.40303451538837e-16,up
GFPT2,GFPT2,1.62150441783878,7.23465107448851,8.65905361506294,4.99058179886025e-18,7.34985488063516e-16,up
RSAD2,RSAD2,4.96575716211536,1.2285346535265,8.63451657120695,6.18391612083268e-18,9.01891145312122e-16,up
IL11,IL11,1.78895970229858,5.38642169697596,8.60586881388666,7.93690055113703e-18,1.14642423153058e-15,up
MT1X,MT1X,1.8091258456283,5.25231906821889,8.5856941352618,9.45738772264432e-18,1.35303693685298e-15,up
TNFSF10,TNFSF10,2.46297164737975,3.23977849576038,8.574811754878,1.03934356454558e-17,1.47292632326449e-15,up
EMR1,EMR1,1.87783278546758,4.90644339916184,8.57315171331176,1.05440428736854e-17,1.48030478550002e-15,up
CACNG8,CACNG8,1.65583184945345,6.40642103310907,8.55909896408764,1.19083511790092e-17,1.65636343899144e-15,up
PHLDA2,PHLDA2,1.65545486637085,6.40004076480739,8.55372825467242,1.24745717369782e-17,1.71920198745767e-15,up
BST2,BST2,2.37131601283005,3.36083647394177,8.46416611418849,2.69549681973498e-17,3.68106847509626e-15,up
PLAUR,PLAUR,1.58948408017252,7.0094818068709,8.43094495429047,3.58004458115102e-17,4.84499366649104e-15,up
ITGB4,ITGB4,1.55355570123485,8.47516779046432,8.40305482845874,4.53938885507307e-17,6.08845530186675e-15,up
SERPINA6,SERPINA6,-2.41754077590212,4.12899730950055,-8.37646319121231,5.6884979735374e-17,7.56217845650255e-15,down
